Date,State,Commodity,tempmax,tempmin,precip,humidity,windspeed,snowdepth,Price (₹/qtl)
2024-01-01,Assam,Tea Loose,78.3,56.7,0.0,79.3,4.7,0,22113.92
2024-01-01,Assam,Salt Pack (Iodised),78.3,56.7,0.0,79.3,4.7,0,1035.77
2024-01-01,Assam,Potato,78.3,56.7,0.0,79.3,4.7,0,1490.74
2024-01-01,Assam,Onion,78.3,56.7,0.0,79.3,4.7,0,3941.17
2024-01-01,Assam,Tomato,78.3,56.7,0.0,79.3,4.7,0,3456.1
2024-01-01,Bihar,Rice,63.0,49.5,0.0,88.2,5.8,0,3316.67
2024-01-01,Bihar,Wheat,63.0,49.5,0.0,88.2,5.8,0,2527.41
2024-01-01,Bihar,Atta (Wheat),63.0,49.5,0.0,88.2,5.8,0,2995.93
2024-01-01,Bihar,Gram Dal,63.0,49.5,0.0,88.2,5.8,0,7144.44
2024-01-01,Bihar,Tur/Arhar Dal,63.0,49.5,0.0,88.2,5.8,0,13777.78
2024-01-01,Bihar,Urad Dal,63.0,49.5,0.0,88.2,5.8,0,11109.26
2024-01-01,Bihar,Moong Dal,63.0,49.5,0.0,88.2,5.8,0,10395.69
2024-01-01,Bihar,Masoor Dal,63.0,49.5,0.0,88.2,5.8,0,7325.93
2024-01-01,Bihar,Sugar,63.0,49.5,0.0,88.2,5.8,0,4210.19
2024-01-01,Bihar,Milk @,63.0,49.5,0.0,88.2,5.8,0,5252.0
2024-01-01,Bihar,Groundnut Oil (Packed),63.0,49.5,0.0,88.2,5.8,0,17016.67
2024-01-01,Bihar,Mustard Oil (Packed),63.0,49.5,0.0,88.2,5.8,0,12667.92
2024-01-01,Bihar,Vanaspati (Packed),63.0,49.5,0.0,88.2,5.8,0,11383.33
2024-01-01,Bihar,Soya Oil (Packed),63.0,49.5,0.0,88.2,5.8,0,11771.15
2024-01-01,Bihar,Sunflower Oil (Packed),63.0,49.5,0.0,88.2,5.8,0,15331.82
2024-01-01,Bihar,Palm Oil (Packed),63.0,49.5,0.0,88.2,5.8,0,9730.95
2024-01-01,Bihar,Gur,63.0,49.5,0.0,88.2,5.8,0,4177.78
2024-01-01,Bihar,Tea Loose,63.0,49.5,0.0,88.2,5.8,0,25348.15
2024-01-01,Bihar,Salt Pack (Iodised),63.0,49.5,0.0,88.2,5.8,0,1832.41
2024-01-01,Bihar,Potato,63.0,49.5,0.0,88.2,5.8,0,1417.31
2024-01-01,Bihar,Onion,63.0,49.5,0.0,88.2,5.8,0,3180.77
2024-01-01,Bihar,Tomato,63.0,49.5,0.0,88.2,5.8,0,2446.3
2024-01-01,Chhattisgarh,Rice,80.9,60.9,0.0,66.3,6.7,0,3442.86
2024-01-01,Chhattisgarh,Wheat,80.9,60.9,0.0,66.3,6.7,0,2950.0
2024-01-01,Chhattisgarh,Atta (Wheat),80.9,60.9,0.0,66.3,6.7,0,3300.0
2024-01-01,Chhattisgarh,Gram Dal,80.9,60.9,0.0,66.3,6.7,0,7662.5
2024-01-01,Chhattisgarh,Tur/Arhar Dal,80.9,60.9,0.0,66.3,6.7,0,14725.0
2024-01-01,Chhattisgarh,Urad Dal,80.9,60.9,0.0,66.3,6.7,0,10075.0
2024-01-01,Chhattisgarh,Moong Dal,80.9,60.9,0.0,66.3,6.7,0,10325.0
2024-01-01,Chhattisgarh,Masoor Dal,80.9,60.9,0.0,66.3,6.7,0,8564.29
2024-01-01,Chhattisgarh,Sugar,80.9,60.9,0.0,66.3,6.7,0,3947.5
2024-01-01,Chhattisgarh,Milk @,80.9,60.9,0.0,66.3,6.7,0,5428.75
2024-01-01,Chhattisgarh,Groundnut Oil (Packed),80.9,60.9,0.0,66.3,6.7,0,17650.0
2024-01-01,Chhattisgarh,Mustard Oil (Packed),80.9,60.9,0.0,66.3,6.7,0,14183.33
2024-01-01,Chhattisgarh,Vanaspati (Packed),80.9,60.9,0.0,66.3,6.7,0,11468.75
2024-01-01,Chhattisgarh,Soya Oil (Packed),80.9,60.9,0.0,66.3,6.7,0,12357.14
2024-01-01,Chhattisgarh,Sunflower Oil (Packed),80.9,60.9,0.0,66.3,6.7,0,13475.0
2024-01-01,Chhattisgarh,Palm Oil (Packed),80.9,60.9,0.0,66.3,6.7,0,10871.43
2024-01-01,Chhattisgarh,Gur,80.9,60.9,0.0,66.3,6.7,0,4406.25
2024-01-01,Chhattisgarh,Tea Loose,80.9,60.9,0.0,66.3,6.7,0,27914.29
2024-01-01,Chhattisgarh,Salt Pack (Iodised),80.9,60.9,0.0,66.3,6.7,0,1935.63
2024-01-01,Chhattisgarh,Potato,80.9,60.9,0.0,66.3,6.7,0,1950.0
2024-01-01,Chhattisgarh,Onion,80.9,60.9,0.0,66.3,6.7,0,3487.5
2024-01-01,Chhattisgarh,Tomato,80.9,60.9,0.0,66.3,6.7,0,1721.43
2024-01-01,Delhi,Rice,61.0,50.5,0.0,81.7,6.9,0,2800.0
2024-01-01,Delhi,Wheat,61.0,50.5,0.0,81.7,6.9,0,2700.0
2024-01-01,Delhi,Atta (Wheat),61.0,50.5,0.0,81.7,6.9,0,2800.0
2024-01-01,Delhi,Gram Dal,61.0,50.5,0.0,81.7,6.9,0,6600.0
2024-01-01,Delhi,Tur/Arhar Dal,61.0,50.5,0.0,81.7,6.9,0,12000.0
2024-01-01,Delhi,Urad Dal,61.0,50.5,0.0,81.7,6.9,0,10000.0
2024-01-01,Delhi,Moong Dal,61.0,50.5,0.0,81.7,6.9,0,9300.0
2024-01-01,Delhi,Masoor Dal,61.0,50.5,0.0,81.7,6.9,0,7300.0
2024-01-01,Delhi,Sugar,61.0,50.5,0.0,81.7,6.9,0,4150.0
2024-01-01,Delhi,Milk @,61.0,50.5,0.0,81.7,6.9,0,
2024-01-01,Delhi,Groundnut Oil (Packed),61.0,50.5,0.0,81.7,6.9,0,19633.0
2024-01-01,Delhi,Mustard Oil (Packed),61.0,50.5,0.0,81.7,6.9,0,13113.0
2024-01-01,Delhi,Vanaspati (Packed),61.0,50.5,0.0,81.7,6.9,0,9800.0
2024-01-01,Delhi,Soya Oil (Packed),61.0,50.5,0.0,81.7,6.9,0,11429.0
2024-01-01,Delhi,Sunflower Oil (Packed),61.0,50.5,0.0,81.7,6.9,0,12454.0
2024-01-01,Delhi,Palm Oil (Packed),61.0,50.5,0.0,81.7,6.9,0,8333.0
2024-01-01,Delhi,Gur,61.0,50.5,0.0,81.7,6.9,0,4600.0
2024-01-01,Delhi,Tea Loose,61.0,50.5,0.0,81.7,6.9,0,21700.0
2024-01-01,Delhi,Salt Pack (Iodised),61.0,50.5,0.0,81.7,6.9,0,2300.0
2024-01-01,Delhi,Potato,61.0,50.5,0.0,81.7,6.9,0,700.0
2024-01-01,Delhi,Onion,61.0,50.5,0.0,81.7,6.9,0,1425.0
2024-01-01,Delhi,Tomato,61.0,50.5,0.0,81.7,6.9,0,1575.0
2024-01-01,Gujarat,Rice,80.6,61.1,0.0,73.8,10.3,0,3171.43
2024-01-01,Gujarat,Wheat,80.6,61.1,0.0,73.8,10.3,0,3035.71
2024-01-01,Gujarat,Atta (Wheat),80.6,61.1,0.0,73.8,10.3,0,3378.57
2024-01-01,Gujarat,Gram Dal,80.6,61.1,0.0,73.8,10.3,0,7300.0
2024-01-01,Gujarat,Tur/Arhar Dal,80.6,61.1,0.0,73.8,10.3,0,13400.0
2024-01-01,Gujarat,Urad Dal,80.6,61.1,0.0,73.8,10.3,0,11100.0
2024-01-01,Gujarat,Moong Dal,80.6,61.1,0.0,73.8,10.3,0,10357.14
2024-01-01,Gujarat,Masoor Dal,80.6,61.1,0.0,73.8,10.3,0,8085.71
2024-01-01,Gujarat,Sugar,80.6,61.1,0.0,73.8,10.3,0,3907.14
2024-01-01,Gujarat,Milk @,80.6,61.1,0.0,73.8,10.3,0,5800.0
2024-01-01,Gujarat,Groundnut Oil (Packed),80.6,61.1,0.0,73.8,10.3,0,17791.67
2024-01-01,Gujarat,Mustard Oil (Packed),80.6,61.1,0.0,73.8,10.3,0,12571.43
2024-01-01,Gujarat,Vanaspati (Packed),80.6,61.1,0.0,73.8,10.3,0,11639.71
2024-01-01,Gujarat,Soya Oil (Packed),80.6,61.1,0.0,73.8,10.3,0,11763.33
2024-01-01,Gujarat,Sunflower Oil (Packed),80.6,61.1,0.0,73.8,10.3,0,11397.14
2024-01-01,Gujarat,Palm Oil (Packed),80.6,61.1,0.0,73.8,10.3,0,9620.14
2024-01-01,Gujarat,Gur,80.6,61.1,0.0,73.8,10.3,0,4592.86
2024-01-01,Gujarat,Tea Loose,80.6,61.1,0.0,73.8,10.3,0,23116.67
2024-01-01,Gujarat,Salt Pack (Iodised),80.6,61.1,0.0,73.8,10.3,0,966.67
2024-01-01,Gujarat,Potato,80.6,61.1,0.0,73.8,10.3,0,1857.14
2024-01-01,Gujarat,Onion,80.6,61.1,0.0,73.8,10.3,0,3842.86
2024-01-01,Gujarat,Tomato,80.6,61.1,0.0,73.8,10.3,0,2300.0
2024-01-01,Haryana,Rice,59.9,50.4,0.0,81.3,6.9,0,3212.5
2024-01-01,Haryana,Wheat,59.9,50.4,0.0,81.3,6.9,0,2531.25
2024-01-01,Haryana,Atta (Wheat),59.9,50.4,0.0,81.3,6.9,0,2900.0
2024-01-01,Haryana,Gram Dal,59.9,50.4,0.0,81.3,6.9,0,6700.0
2024-01-01,Haryana,Tur/Arhar Dal,59.9,50.4,0.0,81.3,6.9,0,12150.0
2024-01-01,Haryana,Urad Dal,59.9,50.4,0.0,81.3,6.9,0,9975.0
2024-01-01,Haryana,Moong Dal,59.9,50.4,0.0,81.3,6.9,0,10100.0
2024-01-01,Haryana,Masoor Dal,59.9,50.4,0.0,81.3,6.9,0,8475.0
2024-01-01,Haryana,Sugar,59.9,50.4,0.0,81.3,6.9,0,4012.5
2024-01-01,Haryana,Milk @,59.9,50.4,0.0,81.3,6.9,0,5737.5
2024-01-01,Haryana,Groundnut Oil (Packed),59.9,50.4,0.0,81.3,6.9,0,17025.0
2024-01-01,Haryana,Mustard Oil (Packed),59.9,50.4,0.0,81.3,6.9,0,12833.33
2024-01-01,Haryana,Vanaspati (Packed),59.9,50.4,0.0,81.3,6.9,0,12150.0
2024-01-01,Haryana,Soya Oil (Packed),59.9,50.4,0.0,81.3,6.9,0,11825.0
2024-01-01,Haryana,Sunflower Oil (Packed),59.9,50.4,0.0,81.3,6.9,0,14650.0
2024-01-01,Haryana,Palm Oil (Packed),59.9,50.4,0.0,81.3,6.9,0,9625.0
2024-01-01,Haryana,Gur,59.9,50.4,0.0,81.3,6.9,0,4225.0
2024-01-01,Haryana,Tea Loose,59.9,50.4,0.0,81.3,6.9,0,21900.0
2024-01-01,Haryana,Salt Pack (Iodised),59.9,50.4,0.0,81.3,6.9,0,2100.0
2024-01-01,Haryana,Potato,59.9,50.4,0.0,81.3,6.9,0,1450.0
2024-01-01,Haryana,Onion,59.9,50.4,0.0,81.3,6.9,0,3400.0
2024-01-01,Haryana,Tomato,59.9,50.4,0.0,81.3,6.9,0,2533.33
2024-01-01,Himachal Pradesh,Rice,58.4,40.5,0.0,67.2,6.7,0,3487.25
2024-01-01,Himachal Pradesh,Wheat,58.4,40.5,0.0,67.2,6.7,0,2100.0
2024-01-01,Himachal Pradesh,Atta (Wheat),58.4,40.5,0.0,67.2,6.7,0,3003.75
2024-01-01,Himachal Pradesh,Gram Dal,58.4,40.5,0.0,67.2,6.7,0,7592.17
2024-01-01,Himachal Pradesh,Tur/Arhar Dal,58.4,40.5,0.0,67.2,6.7,0,14738.09
2024-01-01,Himachal Pradesh,Urad Dal,58.4,40.5,0.0,67.2,6.7,0,12199.58
2024-01-01,Himachal Pradesh,Moong Dal,58.4,40.5,0.0,67.2,6.7,0,10851.42
2024-01-01,Himachal Pradesh,Masoor Dal,58.4,40.5,0.0,67.2,6.7,0,8284.5
2024-01-01,Himachal Pradesh,Sugar,58.4,40.5,0.0,67.2,6.7,0,4400.92
2024-01-01,Himachal Pradesh,Milk @,58.4,40.5,0.0,67.2,6.7,0,4812.5
2024-01-01,Himachal Pradesh,Groundnut Oil (Packed),58.4,40.5,0.0,67.2,6.7,0,18944.8
2024-01-01,Himachal Pradesh,Mustard Oil (Packed),58.4,40.5,0.0,67.2,6.7,0,15161.5
2024-01-01,Himachal Pradesh,Vanaspati (Packed),58.4,40.5,0.0,67.2,6.7,0,12471.75
2024-01-01,Himachal Pradesh,Soya Oil (Packed),58.4,40.5,0.0,67.2,6.7,0,11946.8
2024-01-01,Himachal Pradesh,Sunflower Oil (Packed),58.4,40.5,0.0,67.2,6.7,0,13306.6
2024-01-01,Himachal Pradesh,Palm Oil (Packed),58.4,40.5,0.0,67.2,6.7,0,11132.0
2024-01-01,Himachal Pradesh,Gur,58.4,40.5,0.0,67.2,6.7,0,4215.33
2024-01-01,Himachal Pradesh,Tea Loose,58.4,40.5,0.0,67.2,6.7,0,22277.82
2024-01-01,Himachal Pradesh,Salt Pack (Iodised),58.4,40.5,0.0,67.2,6.7,0,2456.0
2024-01-01,Himachal Pradesh,Potato,58.4,40.5,0.0,67.2,6.7,0,1531.67
2024-01-01,Himachal Pradesh,Onion,58.4,40.5,0.0,67.2,6.7,0,2768.18
2024-01-01,Himachal Pradesh,Tomato,58.4,40.5,0.0,67.2,6.7,0,2916.67
2024-01-01,Jammu and Kashmir,Rice,56.0,46.3,0.0,96.0,5.0,0,3476.0
2024-01-01,Jammu and Kashmir,Wheat,56.0,46.3,0.0,96.0,5.0,0,2862.5
2024-01-01,Jammu and Kashmir,Atta (Wheat),56.0,46.3,0.0,96.0,5.0,0,3312.5
2024-01-01,Jammu and Kashmir,Gram Dal,56.0,46.3,0.0,96.0,5.0,0,7480.0
2024-01-01,Jammu and Kashmir,Tur/Arhar Dal,56.0,46.3,0.0,96.0,5.0,0,11033.33
2024-01-01,Jammu and Kashmir,Urad Dal,56.0,46.3,0.0,96.0,5.0,0,10760.0
2024-01-01,Jammu and Kashmir,Moong Dal,56.0,46.3,0.0,96.0,5.0,0,10240.0
2024-01-01,Jammu and Kashmir,Masoor Dal,56.0,46.3,0.0,96.0,5.0,0,8760.0
2024-01-01,Jammu and Kashmir,Sugar,56.0,46.3,0.0,96.0,5.0,0,4370.0
2024-01-01,Jammu and Kashmir,Milk @,56.0,46.3,0.0,96.0,5.0,0,4340.0
2024-01-01,Jammu and Kashmir,Groundnut Oil (Packed),56.0,46.3,0.0,96.0,5.0,0,17500.0
2024-01-01,Jammu and Kashmir,Mustard Oil (Packed),56.0,46.3,0.0,96.0,5.0,0,13337.5
2024-01-01,Jammu and Kashmir,Vanaspati (Packed),56.0,46.3,0.0,96.0,5.0,0,11606.0
2024-01-01,Jammu and Kashmir,Soya Oil (Packed),56.0,46.3,0.0,96.0,5.0,0,11075.0
2024-01-01,Jammu and Kashmir,Sunflower Oil (Packed),56.0,46.3,0.0,96.0,5.0,0,13375.0
2024-01-01,Jammu and Kashmir,Palm Oil (Packed),56.0,46.3,0.0,96.0,5.0,0,10000.0
2024-01-01,Jammu and Kashmir,Gur,56.0,46.3,0.0,96.0,5.0,0,4250.0
2024-01-01,Jammu and Kashmir,Tea Loose,56.0,46.3,0.0,96.0,5.0,0,28166.67
2024-01-01,Jammu and Kashmir,Salt Pack (Iodised),56.0,46.3,0.0,96.0,5.0,0,2492.5
2024-01-01,Jammu and Kashmir,Potato,56.0,46.3,0.0,96.0,5.0,0,1327.5
2024-01-01,Jammu and Kashmir,Onion,56.0,46.3,0.0,96.0,5.0,0,3550.0
2024-01-01,Jammu and Kashmir,Tomato,56.0,46.3,0.0,96.0,5.0,0,3533.4
2024-01-01,Jharkhand,Rice,71.4,50.0,0.0,63.2,10.3,0,3533.33
2024-01-01,Jharkhand,Wheat,71.4,50.0,0.0,63.2,10.3,0,2840.88
2024-01-01,Jharkhand,Atta (Wheat),71.4,50.0,0.0,63.2,10.3,0,3190.28
2024-01-01,Jharkhand,Gram Dal,71.4,50.0,0.0,63.2,10.3,0,7238.89
2024-01-01,Jharkhand,Tur/Arhar Dal,71.4,50.0,0.0,63.2,10.3,0,13616.76
2024-01-01,Jharkhand,Urad Dal,71.4,50.0,0.0,63.2,10.3,0,11033.89
2024-01-01,Jharkhand,Moong Dal,71.4,50.0,0.0,63.2,10.3,0,10271.94
2024-01-01,Jharkhand,Masoor Dal,71.4,50.0,0.0,63.2,10.3,0,7496.76
2024-01-01,Jharkhand,Sugar,71.4,50.0,0.0,63.2,10.3,0,4192.78
2024-01-01,Jharkhand,Milk @,71.4,50.0,0.0,63.2,10.3,0,5410.0
2024-01-01,Jharkhand,Groundnut Oil (Packed),71.4,50.0,0.0,63.2,10.3,0,16880.0
2024-01-01,Jharkhand,Mustard Oil (Packed),71.4,50.0,0.0,63.2,10.3,0,12903.22
2024-01-01,Jharkhand,Vanaspati (Packed),71.4,50.0,0.0,63.2,10.3,0,11111.65
2024-01-01,Jharkhand,Soya Oil (Packed),71.4,50.0,0.0,63.2,10.3,0,11745.65
2024-01-01,Jharkhand,Sunflower Oil (Packed),71.4,50.0,0.0,63.2,10.3,0,14162.2
2024-01-01,Jharkhand,Palm Oil (Packed),71.4,50.0,0.0,63.2,10.3,0,9657.07
2024-01-01,Jharkhand,Gur,71.4,50.0,0.0,63.2,10.3,0,4130.56
2024-01-01,Jharkhand,Tea Loose,71.4,50.0,0.0,63.2,10.3,0,26120.0
2024-01-01,Jharkhand,Salt Pack (Iodised),71.4,50.0,0.0,63.2,10.3,0,1985.59
2024-01-01,Jharkhand,Potato,71.4,50.0,0.0,63.2,10.3,0,1636.11
2024-01-01,Jharkhand,Onion,71.4,50.0,0.0,63.2,10.3,0,3579.41
2024-01-01,Jharkhand,Tomato,71.4,50.0,0.0,63.2,10.3,0,2705.88
2024-01-01,Karnataka,Rice,84.4,63.8,0.0,70.6,9.1,0,5310.94
2024-01-01,Karnataka,Wheat,84.4,63.8,0.0,70.6,9.1,0,3918.75
2024-01-01,Karnataka,Atta (Wheat),84.4,63.8,0.0,70.6,9.1,0,4024.69
2024-01-01,Karnataka,Gram Dal,84.4,63.8,0.0,70.6,9.1,0,7912.5
2024-01-01,Karnataka,Tur/Arhar Dal,84.4,63.8,0.0,70.6,9.1,0,14848.39
2024-01-01,Karnataka,Urad Dal,84.4,63.8,0.0,70.6,9.1,0,12348.39
2024-01-01,Karnataka,Moong Dal,84.4,63.8,0.0,70.6,9.1,0,11225.0
2024-01-01,Karnataka,Masoor Dal,84.4,63.8,0.0,70.6,9.1,0,9165.63
2024-01-01,Karnataka,Sugar,84.4,63.8,0.0,70.6,9.1,0,3846.88
2024-01-01,Karnataka,Milk @,84.4,63.8,0.0,70.6,9.1,0,4692.5
2024-01-01,Karnataka,Groundnut Oil (Packed),84.4,63.8,0.0,70.6,9.1,0,16685.94
2024-01-01,Karnataka,Mustard Oil (Packed),84.4,63.8,0.0,70.6,9.1,0,15298.39
2024-01-01,Karnataka,Vanaspati (Packed),84.4,63.8,0.0,70.6,9.1,0,10539.06
2024-01-01,Karnataka,Soya Oil (Packed),84.4,63.8,0.0,70.6,9.1,0,12417.74
2024-01-01,Karnataka,Sunflower Oil (Packed),84.4,63.8,0.0,70.6,9.1,0,11075.0
2024-01-01,Karnataka,Palm Oil (Packed),84.4,63.8,0.0,70.6,9.1,0,8682.81
2024-01-01,Karnataka,Gur,84.4,63.8,0.0,70.6,9.1,0,4343.44
2024-01-01,Karnataka,Tea Loose,84.4,63.8,0.0,70.6,9.1,0,24104.69
2024-01-01,Karnataka,Salt Pack (Iodised),84.4,63.8,0.0,70.6,9.1,0,1464.84
2024-01-01,Karnataka,Potato,84.4,63.8,0.0,70.6,9.1,0,2474.19
2024-01-01,Karnataka,Onion,84.4,63.8,0.0,70.6,9.1,0,3575.0
2024-01-01,Karnataka,Tomato,84.4,63.8,0.0,70.6,9.1,0,2033.93
2024-01-01,Kerala,Rice,87.8,78.9,0.0,75.1,5.8,0,4545.38
2024-01-01,Kerala,Wheat,87.8,78.9,0.0,75.1,5.8,0,4037.5
2024-01-01,Kerala,Atta (Wheat),87.8,78.9,0.0,75.1,5.8,0,3719.54
2024-01-01,Kerala,Gram Dal,87.8,78.9,0.0,75.1,5.8,0,8367.86
2024-01-01,Kerala,Tur/Arhar Dal,87.8,78.9,0.0,75.1,5.8,0,16176.92
2024-01-01,Kerala,Urad Dal,87.8,78.9,0.0,75.1,5.8,0,12937.5
2024-01-01,Kerala,Moong Dal,87.8,78.9,0.0,75.1,5.8,0,11753.85
2024-01-01,Kerala,Masoor Dal,87.8,78.9,0.0,75.1,5.8,0,9018.57
2024-01-01,Kerala,Sugar,87.8,78.9,0.0,75.1,5.8,0,4088.57
2024-01-01,Kerala,Milk @,87.8,78.9,0.0,75.1,5.8,0,5186.8
2024-01-01,Kerala,Groundnut Oil (Packed),87.8,78.9,0.0,75.1,5.8,0,21850.0
2024-01-01,Kerala,Mustard Oil (Packed),87.8,78.9,0.0,75.1,5.8,0,15355.56
2024-01-01,Kerala,Vanaspati (Packed),87.8,78.9,0.0,75.1,5.8,0,12122.73
2024-01-01,Kerala,Soya Oil (Packed),87.8,78.9,0.0,75.1,5.8,0,
2024-01-01,Kerala,Sunflower Oil (Packed),87.8,78.9,0.0,75.1,5.8,0,10754.55
2024-01-01,Kerala,Palm Oil (Packed),87.8,78.9,0.0,75.1,5.8,0,8723.33
2024-01-01,Kerala,Gur,87.8,78.9,0.0,75.1,5.8,0,5178.57
2024-01-01,Kerala,Tea Loose,87.8,78.9,0.0,75.1,5.8,0,19792.31
